Sample File,C:\Users\APRL lab\Desktop\SMPS data\ENV400_2014\ENV400_20140307.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3772
Gas Viscosity (kg/(m*s)),1.8325e-005
Mean Free Path (m),6.73e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Diameter Midpoint, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,Scan Up Time(s),Retrace Time(s),Down Scan First,Scans Per Sample,Impactor Type(cm),Sheath Flow(lpm),Aerosol Flow(lpm),CPC Inlet Flow(lpm),CPC Sample Flow(lpm),Low Voltage,High Voltage,Lower Size(nm),Upper Size(nm),Density(g/cc),Title,Status Flag,td(s),tf(s),D50(nm),Median(nm),Mean(nm),Geo. Mean(nm),Mode(nm),Geo. Std. Dev.,Total Conc.(#/cm³),Comment
1,03/07/14,07:59:34,,4203.04,3585.37,2800.46,2433.82,3918.87,5040.1,4256.93,4342.19,5989.35,5111.69,4869.87,5366.58,6481.65,6321.16,6548.55,6468.57,5822.15,6830.74,7036.36,5990.85,6734.79,7366.01,6263.31,6560.65,6486.65,7372.53,6303.21,6082.84,5390.6,6701.41,5484.83,6579.64,5524.41,5740.82,5528.99,5208.84,4843.51,5373.66,5204.65,4723.23,4863.49,4995.84,5317.04,5015.35,4952.01,5474.71,5100.89,5280.67,5158.58,5615.57,5332.32,5198.48,5424.08,4735.53,5133.65,5222.01,4782.17,5305.6,4229.38,4386.85,4014.46,4482.27,3917.32,4098.95,4365.65,3369.22,3766.34,3427.15,3333.64,2932.06,2669.52,3039.75,2420.69,2283.69,2401.26,2124.08,2380.28,2155.5,1948.38,1736.88,1548.04,1493.39,1510.23,951.307,989.235,1067.12,1037.72,793.967,729.016,500.713,526.359,567.71,603.708,299.216,231.41,202.961,185.495,338.598,310.83,90.7758,153.618,301.711,176.236,28.4062,132.203,33.5672,86.1221,87.1502,35.5132,0,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,49.5984,76.8264,54.304,34.5989,2.25047,6254.63,
2,03/07/14,08:03:37,,1746.54,4189.42,3576.41,3684.62,3546.06,3587.38,3969.04,4542.22,5795.87,5171.59,5952.72,5437.67,5718.47,6264.92,6908.44,6653.12,5997.28,5972.54,6553.95,6546.58,6140.3,6565.16,5936.01,6102.69,5652.89,5812.83,6852.52,5314.22,5385.67,4911.94,6010.56,5021.09,4794.17,4908.17,4236,5540.95,4131.83,4107.5,4666.14,5493.94,4720.5,4777.48,5034.8,4860.04,5422.8,5237.45,5020.34,5122.2,5144.45,5623.59,4733.6,4688.58,5424.57,4373.38,4823.13,4681.99,4806.98,4165.7,4404.07,4397.35,4442.98,4679.44,3899.06,3593.35,4137.8,3873.71,3220.17,3444.09,3146.13,3081.73,2954.17,3036.24,2751.7,2299.21,2385.71,2143.56,1853.87,2217.21,1802.02,1823.6,1198.49,1542.91,1297.12,1261.12,1036.5,612.967,1046.01,719.568,652.449,457.91,650.757,480.565,357.912,335.269,332.718,426.901,254.976,133.979,145.795,76.5748,92.7357,62.7241,31.8258,130.202,98.0088,101.863,0,34.9348,35.5132,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,50.3749,76.8724,54.425,23.291,2.25639,5957.7,
3,03/07/14,08:07:37,,1050.56,3405.08,3457.25,3402.12,2885.14,3577.84,4767.52,5543.03,3973.1,5075.4,5524.4,4955.48,5231.96,5190.26,5645.28,6463,6075.37,6083.88,5870.73,6385.72,6547.73,6038.15,5716.74,6968.25,5558.29,5371.53,5082.47,6317.37,5007.29,4997.11,5065.63,5420.94,5057.16,4049.42,4735.56,4194.6,4222.37,4254.26,4909.26,4384.96,4846.4,4937.49,5204.43,4585.94,5653.86,4501.13,4716.27,5049.74,4545.95,5558.29,4629.49,4865.99,4870.88,4180.97,4310.06,3856.79,5065.59,4006.33,4864.2,4214.66,4388.34,3849.69,4101.6,4302.85,3081.26,4206.5,3539,3479.16,3420.36,2757.46,2678.54,2961.28,2742.29,2335.54,2570.94,2417.68,2134.06,2192.97,1967.13,1531.23,1703.32,1074.46,1207.57,1175.57,1252.43,762.977,535.76,620.061,803.596,555.923,370.1,401.451,483.491,425.724,314.589,231.233,174.12,186.994,179.039,121.034,61.8238,125.448,222.781,0,33.0509,0,34.3753,0,0,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,51.6485,77.7696,55.2517,32.1968,2.25316,5729.34,
4,03/07/14,08:11:37,,1482.95,3539.13,2855.53,4193.29,3184.15,3608.48,4615.93,4242.77,5133.52,5751.11,5269.54,4965.3,5701.09,5682.4,6764.62,6857.99,5600.47,6522.18,6549.13,6134.24,6239.48,6086.14,6619.14,5796.64,5743.65,5994.04,5542.43,5883.34,5249.08,5257.75,5310.17,4639.98,4538.97,4370.13,5053.14,3992.74,4640.94,3855.99,4898.61,4261.55,4491.73,4602.7,4833.13,4933,5163.42,4902.66,4636.97,4919.26,5275.42,4929.88,4694.85,5085.63,5069.77,5134.6,4765.47,5012.71,5101.18,4212.2,4128.57,4239.72,4834.37,3624.42,3614.66,3493.32,3731.45,3711.97,3564.85,3456.13,3164.97,3313.49,2752.21,2945.17,2757.32,2678.11,1907.76,2074.47,2338.58,1829.52,1679.85,1712.13,1465.82,1288.24,1141.37,1049.22,1168.11,704.257,523.773,917.675,650.269,627.911,489.179,459.805,331.751,345.854,164.592,282.726,217.804,133.408,203.902,98.7552,84.584,0,0,0,99.1526,0,0,0,71.0263,0,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,50.5931,76.3414,54.4159,24.1442,2.24477,5788.51,
5,03/07/14,08:15:37,,1146.92,3630.69,4227.31,3497.26,3119.72,4328.75,3723.81,4501.38,4976.16,4525.83,6060.75,5722.27,5490.15,6340.67,5477.67,5863.95,6205.45,5920.8,6168.54,6330.45,6998.66,6395.37,6840.09,5747.58,6131.1,6003.04,5996.42,5487.1,5843.96,5127.98,5190.32,5141.52,4728.22,4903.44,4727.49,4911.41,4660.19,4962.03,4953.7,4951.69,4819.09,4222.92,4633.76,4512.91,4267.57,4923.88,5245.64,5112.92,4939.54,4436.57,5012.95,4668.45,4465.79,4503.19,4649.99,4585.25,5074.86,3818.18,4224.82,4173.35,4420.99,3936.29,4246.45,3407.04,3757.73,3469.39,3579.91,3175.23,3099.17,2697.65,2861.52,2633.51,2803.76,2424.88,2195.91,1919.63,1922.03,1644.83,2038.03,1715.92,1697.51,1347.63,1181.72,1275.19,1063.06,1160.97,930.076,718.661,877.9,657.485,237.282,263.715,295.506,355.353,183.787,249.719,300.084,116.925,119.36,90.7758,30.9119,62.7241,4.05191,93.507,33.0509,0,0,0,106.539,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,49.7308,76.11,54.1046,28.9026,2.24428,5792.05,
6,03/07/14,08:19:38,,1888.4,3473.08,2343.96,3542.12,2805.12,3016.39,3969.04,4251.11,4689.05,4322.02,4315.16,6089.64,5231.96,6058.36,6609.22,5766.69,6580.76,6586.96,6577.64,6586.1,6631.14,5745.88,7069.39,6548.01,5628.16,5979.43,5615.46,6205.72,5871,4392.47,4832.27,5149.23,4418.35,5334.43,5182.83,4228.01,4374.15,4508.28,4903.95,4563.09,4567.46,4954.44,4467.1,5123.76,5425,5385.96,4362.5,4983.86,4845.57,5302.21,5435.09,5114.43,5189.38,4798.23,4708.87,4877.94,4764.36,4845.22,4167.09,4287.99,4511.68,4182.23,3790.46,4071.93,3571.29,3748.06,3262.63,3570.67,3007.36,2929.56,2753.58,2525.49,2735.97,2459.73,2501.12,2532.88,2000,2074.92,1731.12,1631.75,1842.09,1467.95,1254.49,1130.48,1071.33,933.895,823.062,771.205,500.916,631.851,381.382,416.333,393.518,217.612,203.683,188.121,229.179,46.285,161.631,68.4966,84.584,31.3621,0,65.1008,66.1017,42.6754,59.4231,0,71.0263,28.889,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,51.5875,77.1246,55.2634,31.059,2.22989,5816.65,
7,03/07/14,08:23:37,,1459.81,3561.81,2612.64,2920.81,2144.97,3205.84,3857.7,3592.85,3988.72,3154.61,4359.97,5009.03,5648.3,5904.75,6772.06,5819.53,6208.35,5917.96,6362.42,6699.91,6164.45,6588.02,6048.44,6119.48,7621.32,6703.69,6921.02,6917.39,6433.04,5761.3,5576.93,5918.31,5558.84,5747.12,5386.7,5564.42,5643.43,5318.03,4770.9,4448.58,5128.86,5474.4,5446.3,5615.89,5289.86,5036.74,5606.21,5673.29,5407.25,5056.1,5106.67,5550.02,5027.06,5350.05,5475.6,5016.88,4714.73,4712.16,4985.66,4119.73,4383.64,4639.12,3978.42,4683.44,4158.71,4384.92,3764.43,3680.18,3428.44,3411.16,3010.24,2914.64,3094.51,2943.11,2320.88,2462.92,2054.94,1970.63,1720.85,1568.46,1420.53,1438.23,1434.85,1262.92,1051.19,969.439,851.056,574.656,703.871,534.424,636.142,512.548,268.642,409.756,247.771,156.202,242.79,280.135,251.15,129.014,115.496,156.81,0,130.202,98.0088,34.7289,17.3715,17.2806,35.5132,36.1112,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,52.8874,78.7296,56.9055,33.3762,2.20398,6106.21,
8,03/07/14,08:27:37,,2056.41,3271.13,2378.16,2281.1,3746.2,4004.41,3855.28,4693.08,5007.5,4340.1,5181.81,5758.27,5510.87,5080.88,6873.33,6992.78,7289.64,6540.29,6948.85,7481.15,7524.52,7887.5,7863.93,7238.44,7184.4,5843.54,6757.15,5448.88,7200.05,5796.1,5907.34,5110.44,4914.52,5147.4,4666.82,5344.84,4511.49,5690.99,5601.47,5432.14,4810.97,5003.04,5388.59,5913.42,5994.52,5982.78,5862.61,6123.35,5577.79,5327.38,5986.96,6329.44,5098,5577.16,5064.15,5021.59,5088.39,5408.41,5391.62,4964.71,4618.66,4451.97,4480.39,4155.05,4023.21,3788.85,3941.4,3551.66,3477.75,3900.68,3313.01,3174.4,2612.85,2486.2,2288.17,2445.06,2660.45,2175.25,2073.8,1992.74,1308.43,1438.23,1658.05,1170.29,880.97,957.071,731.099,820.239,804.065,632.437,395.997,475.93,470.091,391.406,146.463,302.618,285.048,175.388,222.884,76.5748,153.618,63.6792,35.8778,158.608,66.1017,67.1345,34.3753,69.8696,0,0,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,52.7772,77.6679,55.8723,29.9614,2.21655,6404.41,
9,03/07/14,08:31:37,,1627.04,3940.21,3175.2,3887.74,2947.82,3674.6,4573.94,4438.24,3649.17,4724.35,5204.23,6728.75,6560.72,6090.83,6550.49,6386.99,5497.66,7517.93,7615.61,7775.28,7317.84,6852.71,7649.75,6585.09,7330.41,6694.16,5744.7,6228.14,5788.93,6252.85,6550.17,5391.63,6398.16,5578.44,5988.44,5540.32,5033.71,5624.2,5673.7,6148.5,5479.71,5459.22,5167.21,5350.54,5327.53,5716.06,5512.82,6173.49,5646.33,5373.46,5596.84,6225.92,5731.9,5756.74,5718.14,5418.09,5583.19,5004.12,4805.62,4738.91,5013.64,5311.66,4356.48,4645.1,3916.55,3988.68,3720.05,3905.43,3346.48,3311.79,3034.03,2449.65,3178.04,2549.04,2315.41,2629.02,2421.09,1983.92,1995.24,1897.45,1441.99,1509.04,1569.74,1551.68,1232.3,1245.99,1025.41,1023.81,848.782,632.046,565.993,408.304,515.078,289.717,110.906,354.11,300.084,116.925,89.5197,121.034,154.559,0,95.4775,32.5504,0,100.702,0,0,27.2509,8.40143,210,30,FALSE,1,0.071,3,0.3,1,1,10.2319,9601.54,13.8237,723.394,1.36,,Normal Scan,1.78,7.52082,1204.88,52.1694,77.4213,55.6902,27.8813,2.21846,6532.26,
